song_id,artist_name,title,tempo,key,mode,time_signature,loudness,duration
SOBBUGU12A8C13E95D,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,166.862,7,1,4,-4.264,207.77751
SOBLGCN12AB0183212,SUE THOMPSON,James (Hold The Ladder Steady),137.522,10,1,4,-12.332,124.86485
SOPSWQW12A6D4F8781,Five Bolt Main,Made Like This (Live),164.672,7,1,1,-5.908,225.09669
SOZQDIU12A58A7BCF6,Clp,Superconfidential,125.006,6,0,4,-6.486,338.31138
SONYPOM12A8C13B2D7,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),90.022,5,1,1,-4.516,186.48771
SOBZBAZ12A6D4F8742,Willie Bobo,Spanish Grease,127.025,8,1,4,-9.616,168.25424
SOVYKGO12AB0187199,Faye Adams,Crazy Mixed Up World,95.957,8,1,3,-18.051,156.39465
SOGNCJP12A58A80271,Terry Callier,Do You Finally Need A Friend,110.189,6,1,3,-11.939,342.56934
SOLLHMX12AB01846DC,John Wesley,The Emperor Falls,138.007,4,0,4,-15.335,484.62322
SOYTPEP12AB0180E7B,The Shangri-Las,Twist and Shout,130.1,10,1,1,-10.922,164.80608
SOGXHEG12AB018653E,Billie Jo Spears,It Makes No Difference Now,160.839,4,1,1,-9.983,133.32853
SOOLYAZ12A6701F4A6,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),41.993,7,1,1,-7.762,173.66159
SOGOSOV12AF72A285E,Sierra Maestra,¿Dónde va Chichi?,189.646,9,1,3,-9.512,313.12934
SOJXVAH12A8C139700,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",130.586,4,0,4,-9.063,450.84689
SOVXMTN12A8C135A18,Despina Vandi,OUTE ENA EFHARISTO,128.292,8,0,4,-8.879,303.09832
SORSECL12AB0182267,Javier Navarrete,Midnight Swim,90.932,3,1,3,-17.699,128.83546
SOOGFBZ12AC3DF7FF2,Jacob Young,In A Subtle Way,89.667,1,1,4,-19.478,456.30649
SOMSBGZ12AB018C4CB,Scarlet's Remains,Spin,115.061,7,1,4,-7.469,198.73914
SONYRZV12AB018AF70,The Suicide Machines,Burning In The Aftermath,115.887,2,1,4,-2.022,95.68608
SONQBUB12A6D4F8ED0,The Rolling Stones,Angie (1993 Digital Remaster),139.333,9,0,1,-10.358,271.49016
SOHGKJW12AC468A8BD,Roberto Torres,Sabor Guajiro,117.271,0,1,4,-12.716,226.66404
SOINBCU12A6D4F94C0,Loudon Wainwright III,Human Cannonball,102.428,3,1,4,-15.663,190.48444
SOTWVQT12A58A79650,R.L. Burnside,Glory Be,89.984,2,1,4,-6.944,277.78567
SOTSEJY12AB0180F56,Stevie Ray Vaughan,Crossfire,116.721,1,1,4,-7.805,248.78975
SOTSETT12AB01863B8,John Hammond,I Can't Be Satisfied,123.142,7,1,4,-10.7,195.3171
SOTUNMH12A6D4FA3E6,Casiotone For The Painfully Alone,Nashville Parthenon,141.919,0,1,4,-10.93,175.72526
SOEPPKB12AB018418B,Ec8or,Cocain Ducks,95.596,10,0,4,-9.493,217.23383
SOGKIWV12A6D4F86C4,The New York Dolls,Human Being,154.953,11,1,1,-9.253,344.05832
SOPHYIS12AAF3B35A3,Eliane Elias,The More I See You,86.091,7,1,5,-12.009,251.42812
SOFHBAR12A6701D0FE,Lost Boyz,Certain Things We Do,90.218,7,1,4,-11.043,269.7922
SOCPRKM12AB018A2FD,The Germs,Forming,133.144,11,0,1,-11.506,206.05342
SOFGHAM12AB0186412,Yamandu Costa,Mafuá,205.317,2,1,4,-14.179,190.04036
SODHVES12A6701CE6B,Chris Rea,Driving Home For Christmas,180.149,9,1,4,-8.531,241.162
SOXIATP12AAF3B2184,Perrey And Kingsley,Spooks In Space,102.538,0,0,4,-8.541,122.64444
SOGNQWU12A8AE4868F,Eurythmics,Tous Les Garçons Et Les Filles,84.164,0,1,4,-6.629,207.0722
SOYQOFI12A6D4F76E1,Francis Dunnery,Too Much Saturn,124.175,7,1,4,-13.33,300.79955
SOVOLGY12A6D4F822B,John Cale,Movement 4 [from Kiss] (Album Version),137.004,7,1,1,-12.412,228.46649
SOMZCVH12AB0182B8E,Suzanne Ciani,Stream,106.33,7,1,4,-21.552,239.59465
SONXJBL12AAF3B2C0C,Vickie Winans,Make Me Over,107.961,11,0,4,-8.686,228.93669
SOYWZTU12AB0180E26,The Berzerker,Deform (live),174.287,1,1,3,-6.222,165.61587
SOLGHDZ12AB0183B11,Kings Of Leon,Wicker Chair,116.823,0,1,4,-5.907,187.92444
SOTNTNJ12AAA15FBD6,Edith Lefel,An ti chans',101.972,0,1,4,-4.638,276.50567
SOXZXXV12AAF3B3A67,Taras,I Will Love Again (JJ's Club Radio),127.97,11,0,4,-5.884,200.25424
SOPIKEG12A58291636,NOFX,Stickin In My Eye,152.622,4,0,4,-7.787,144.50893
SOIRNBO12AC468D207,Murskahumppa,Ota kiinni,110.787,7,1,3,-8.488,285.17832
SOSBDSF12AB0189007,Soda Stereo,Entre Caníbales,112.903,7,1,4,-9.603,246.69995
SOIJXXM12A8C1416D6,Bruce Rowland,Rosemary Recalls,115.642,7,1,4,-26.266,84.03546
SOHMMMC12AB0181C42,Xcultures,Sudanese Dance,125.013,1,1,4,-6.305,273.52771
SOVJXVJ12A8C13517D,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),113.277,5,1,4,-9.998,298.84036
SOFZCTA12AB0188D8F,Heavy D / McGruff,Wanna Be A Player,96.979,5,0,4,-9.161,161.38404
SOLRYQR12A670215BF,Van Halen,Panama (Remastered Album Version),140.995,8,1,1,-4.865,209.29261
SOCHRXB12A8AE48069,Black Eyed Peas,Let's Get It Started,105.206,11,0,4,-4.882,229.61587
SOKBBXO12A6701DEA0,Nine Inch Nails,Metal,63.017,0,0,4,-12.951,426.89261
SOWHYUG12A58A77FAB,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),144.603,9,0,4,-11.751,269.26975
SOYSTDI12A6D4F6500,Nadine Renee,Next Time,167.92,2,1,4,-6.693,249.41669
SOOOROX12A6D4F8400,Lesley Gore,It's My Party,129.122,9,1,1,-9.091,136.48934
SONSPZE12AB01819CE,Smartbomb,Complicate It,132.022,0,1,4,-2.658,233.27302
SOHWGFU12AB017B036,Suburbs,Monde De Fou,183.92,1,1,1,-4.42,187.24526
SOQQVQJ12AB0185192,Emperor,Opus a Satana (Part 2),89.867,9,0,4,-11.051,72.61995
SODRHHD12AB0189F2A,Julien Clerc,This Melody (Live),119.896,2,1,5,-9.97,272.63955
SOQGFVO12A8C13C8C3,Glen Campbell,I'm Gone This Time,137.29,1,0,4,-11.335,142.75873
SORABMD12A8C136672,T.G. Sheppard,You Feel Good All Over,82.343,5,1,1,-15.581,194.11546
SOTUBVH12AB018D2EC,Slim Whitman,Indian Love Call,91.487,3,1,4,-11.98,195.91791
SOMQAGT12A8C132DB4,Savage Garden,You Can Still Be Free,84.69,9,0,5,-11.215,118.33424
SOKLLOH12A67020F2C,Queens Of The Stone Age,I Never Came,115.606,2,1,4,-8.165,288.41751
SONRLQH12AB017C232,Hank Penny & The Lincoln Penny Orchestra,Dixie,126.523,7,0,1,-12.69,123.21914
SODDZAD12A6701DC4C,Inspiral Carpets,Commercial Reign,113.677,2,1,4,-8.7,283.76771
SORENXV12A6701F61F,Borialis,Hourglass,86.938,2,1,4,-5.758,239.3073
SOYMMDY12AB01825B2,The Dirty Skirts,Wake,141.936,0,1,4,-4.907,206.75873
SOJWQIP12A6D4F710A,Flor Silvestre,Caricia Y Herida,106.049,11,1,1,-8.133,134.81751
SOOVOKS12AB017EE57,Bézu,Le tortillard,126.88,8,1,4,-9.093,285.64853
SORWHWY12A6702038E,Redman,WKYA (drop),85.008,1,0,5,-10.296,124.18567
SOGYYLE12A8C13E5EA,Solistiyhtye Suomi,Teräslintu,133.699,4,0,1,-12.839,134.08608
SOITUXQ12AB0183AE9,Eddie Cantor,Now's The Time To Fall In Love,118.975,11,1,1,-13.71,155.61098
SOTWEZZ12A8C142B60,Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),102.408,9,1,4,-2.119,275.40853
SOUVRGZ12A58A77F90,Kai Winding,Mangos,112.006,0,1,4,-14.438,223.4771
SOBLTSM12A6D4F9EEA,Sonny Simmons,A Distant Voice,45.527,1,1,4,-13.002,443.24526
SOUQVUD12A8C142DCE,Mira,Openbare Weg,85.621,4,1,4,-12.004,177.81506
SOCRPDR12AB0185B75,Citizen Kaned,President Johnson,108.061,8,0,4,-8.37,385.33179
SOXVBVL12AF72A600C,The Brooklyn Tabernacle Choir,Lead Me Lord,216.195,7,1,5,-11.829,324.44036
SOIQHDR12AB01896C8,Ellen McIlwaine,Spontanous Combustion,132.428,7,1,4,-6.29,275.12118
SODLSHA12AAF3B29F2,Vince Guaraldi / Bola Sete,Choro,168.307,5,0,4,-15.761,294.66077
SOAGHMH12AB0180285,Maurice Chevalier,Ma Louise,140.956,0,1,7,-27.433,193.20118
SORAVUP12AB018556E,Carl Cox Vs Yousef,I Want You (Forever),130.016,1,1,5,-5.701,357.82485
SOFXNQP12AB0184F1A,Organized Konfusion,Hate,175.769,11,0,4,-8.709,198.3473
SOGQTRZ12A8C13C8B0,Martina McBride,I Can't Stop Loving You,100.194,7,1,3,-13.627,261.95546
SOBHVZQ12AC9618285,Horace Andy,Thank You Lord,151.911,2,1,4,-11.479,176.27383
SOYPBCY12AB0181EF3,Nazz,How Can You Call That Beautiful (Stewkey Vocal),119.691,9,1,4,-6.302,220.89098
SOWRLSY12AC4687694,Tyrone Davis,Cheatin' In The Next Room,161.976,10,1,4,-10.466,235.91138
SOOGQWR12A8C142505,Hot Tuna,Candy Man,172.398,0,1,1,-9.275,239.59465
SOJDYQY12AB0188C97,Richard Burton,I See The Boys Of Summer,109.823,2,1,3,-37.398,171.49342
SOBHQUF12AB018B03E,Rory Block,Three Is a Crowd,90.101,1,1,1,-13.836,266.05669
SOFRAZJ12A8C143CDB,Boyz II Men,On Bended Knee,116.473,8,1,4,-7.103,329.27302
SONNDHT12A8C13F20B,Howard Armstrong,My Four Reasons,126.821,9,0,4,-13.495,198.922
SOYZOXW12A8C13E195,Donny Hathaway,Little Girl (LP Version),111.191,2,1,3,-15.144,283.21914
SOSGJTX12AB0181F7C,Miguel Gallardo,Eternamente Amame,125.508,5,1,4,-12.991,238.68036
SOBQBWP12AB018611B,Les Ogres De Barback,Niev nietch nievitch,137.888,4,0,1,-6.01,254.06649
SODULLV12AB017FA09,DJ X-Change featuring DJ Joey A,Come Over,150.012,6,0,4,-5.58,184.31955
SOYAGJM12A8C13DCCE,Morel,Blue Taxi,108.367,10,1,4,-4.313,311.40526
SORXUZZ12A8AE4798A,Tony Joe White,I Want Love (Tween You & Me) (Album Version),173.482,2,1,4,-17.285,162.53342
SOCHXAE12AF72A25D6,Wolfmother,White Feather,110.745,4,0,4,-5.931,212.37506
SOCRHCQ12A58A7C8C6,The Roches,Christlike Roche,130.027,2,0,4,-14.248,338.33751
SOSEJIQ12AB017E7EB,Bob Margolin,You Rascal You,110.168,11,1,4,-12.651,126.51057
SOMXWXQ12AC3DFA002,Thomas Battenstein,Sympathy,97.976,9,0,3,-16.056,205.58322
SOGMXBW12A6D4FB8D7,Jupiter Rising,They Say (Album),119.979,0,0,4,-5.913,193.4624
SOOPUTF12AB018DFAA,Dharma Bums,Simon's Folly,156.968,6,1,1,-5.541,127.4771
SOFDTRZ12AB018DD11,Saafir,Crawl Before You Ball (Album Version),188.886,5,1,4,-6.019,234.762
SOOGNJP12A8C1381AD,The Verve Pipe,Medicate Myself,133.306,9,1,4,-4.953,292.8322
SOFUBCP12A8C13D5EF,Bob Neuwirth,Biding Her Time,152.267,4,1,3,-18.114,241.10975
SOVZBDR12A6702012E,Marvin Sapp,More And More  (LP Version),166.275,1,1,4,-11.061,270.68036
SOPWKSS12AC468E659,James Hunter,Cowboy Ways,114.971,2,1,4,-7.04,188.73424
SOCCQIQ12A8C13C76B,Nelson Ned,Brasas Vivas,144.651,9,0,4,-15.358,211.80036
SODBMZD12A8C134232,Mish Mash,Kolomeyke,152.005,2,1,1,-11.213,254.32771
SOBUWPY12A8C1446C0,Cama,In This Life,155.074,1,0,1,-5.904,210.36363
SORWXUP12A58A79E65,Maxi Priest,Groovin' In The Midnight,61.971,10,0,1,-8.095,301.81832
SOJEVZW12A8C133988,Porcupine Tree,Waiting,124.04,6,0,5,-7.982,416.80934
SOOODKC12AB018462F,Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),191.196,7,0,4,-8.804,413.36118
SODOLVO12B0B80B2F4,Foo Fighters,Hell,152.127,7,1,4,-5.699,117.002
SOEHWGF12A6D4F8B2B,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),100.023,10,0,4,-5.152,217.36444
SOOZLTC12A6D4FBE91,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa),192.688,10,1,4,-9.965,122.72281
SOOSYMY12AB01888CD,Robben Ford,I Got Over It (Album Version),154.322,11,0,4,-11.976,203.98975
SOPBKEB12A6D4FD777,Brazilian Tropical Orchestra,One Less Bell To Answer,236.006,5,1,4,-10.229,192.44363
SOEWQYW12AB0183FDE,Gil Semedo,Festa,150.666,11,1,5,-6.284,285.36118
SOFBQIA12AB0182219,Soda Stereo,Te Hacen Falta Vitaminas,175.421,11,0,1,-3.818,225.12281
SOHDDHR12AB0183552,Xmilk,Sense And Trick,104.153,9,0,4,-4.633,123.66322
SONWQQX12AC3DF6762,Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix),127.278,11,0,4,-5.602,525.16526
SOGXFIF12A58A78CC4,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),160.165,6,1,4,-5.157,204.06812
SOIPNSZ12A8C144128,Schizoid,Grim Prospects (Version 2 Remix),86.091,5,1,3,-1.925,166.00771
SOEXSIN12A8C133B0A,Toni Braxton Featuring Shaggy,Christmas In Jamaica,149.94,0,1,4,-5.21,219.01016
SOTSMNJ12AB018365E,Perrey And Kingsley,Gossippo Perpetuo,135.78,0,1,4,-12.717,127.9473
SOLGRUN12A8C140543,Sven Tasnadi,2190 Dias Contigo,122.967,7,1,4,-12.28,570.90567
SOQCHGV12AC4688FC6,Eddie,No Control,142.024,9,1,4,-9.748,230.00771
SOXCWTT12AC9075756,Enthroned,The Vitalized Shell,135.535,2,0,7,-4.878,240.74404
SOAFIPD12A8C13A261,Suzanne Ciani,Mozart,139.189,2,1,3,-23.988,192.20853
SOMJPML12A8C13D74E,Milan Band,Ciao Milan,128.598,8,1,5,-9.414,152.0322
SOCVDYI12AC4687DDB,Johnny Osbourne,Lend Me Your Chopper,163.445,3,0,4,-9.741,215.30077
SOEVGMZ12A8C1421B5,Dolly Parton,Letter To Heaven,114.027,7,0,3,-11.965,155.21914
SOCGURJ12AB0182AEE,Rance Allen Group,Heaven is Where The Heart Is,111.316,7,1,1,-12.779,207.12444
SOHTWLT12A8C13CFE1,Pearl Jam,Inside Job,105.994,4,0,3,-8.403,428.56444
SOVQZYP12A8C144692,Natalie Cole,Take A Look  (LP Version),88.489,8,1,1,-13.251,185.7824
SOHHANU12A58A77C66,Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),118.433,7,0,4,-5.884,654.28853
SOTHWPG12AB018C90E,Kiril Valeri,Bulgarian Dream,96.007,11,1,4,-6.929,306.72934
SOOQHNV12AB0186CD4,Word,Amalgama,187.807,9,1,4,-4.198,229.51138
SOSGXRU12AAF3B2B07,DJ Quik,Born and Raised In Compton,181.115,7,0,4,-6.998,205.58322
SOFRUDU12A8C13A40C,Hank Locklin,We're Gonna Go Fishin',148.357,2,1,4,-12.772,127.05914
SONXLQQ12AB0184B54,BT,Robbers Kill Cop,136.164,1,0,4,-18.147,44.35546
SOKPHVH12AB0187460,2-4 Grooves feat. Reki D.,Relax,126.941,4,0,4,-7.661,203.83302
SOIUGDX12A6D4FDECA,The Jordanaires,Sweet By And By,159.582,5,1,3,-17.308,176.50893
SOAYYDM12AB01817E6,Descendents,Orgofart,89.495,6,0,4,-28.347,140.66893
SORAJXA12A58A7A4C9,L.A. Guns,Bitch Is Back,102.259,5,0,3,-2.869,201.09016
SODJUNF12A8C13337F,Bare Jr.,Naked Albino,107.529,10,1,3,-7.309,254.79791
SOVDDWO12A6D4F9A78,Shelley Fabares,Johnny Loves Me (LP Version),99.408,0,1,4,-15.351,143.0722
SOFGQAP12AB0185946,Norrie Paramor,Dearly Beloved,79.731,9,1,4,-25.694,163.49995
SORGLCR12AB0184B69,Gary Hobbs,The Look Of Love,188.502,0,1,1,-9.435,289.64526
SOLBIIE12AB0184DFC,Diesel Boy,Cooler Than You,133.729,11,1,1,-4.793,124.15955
SORHOEV12A81C20F71,Angelo Badalamenti,Taryns Deepest Fear,139.136,4,0,4,-17.623,167.3922
SOFPYXC12A58A7A4B9,Cradle Of Filth,Summer Dying Fast,193.693,2,0,4,-6.2,321.35791
SOFQGCQ12AB0183609,Jim Chappell,Still,76.693,0,1,4,-19.821,263.94077
SOEBDBO12AC4688712,Ladybug,Snapshot,126.95,10,1,4,-9.632,341.36771
SONIQSB12AB0189829,Bandido,End Of The Road (Head Hornys Remix),144.812,6,1,1,-5.671,333.13914
SOYNEII12AB0181DB6,Brixx,7 Miles,138.003,11,0,4,-11.708,349.12608
SOKIGWD12A6701DE9D,Nine Inch Nails,The Frail,130.284,7,0,4,-16.968,168.56771
SOHXKAN12AC46872F1,Susana Seivane,Para Milladoiro,152.013,10,1,4,-13.038,350.71955
SOQZHMH12A8C13A393,Leland Martin,Stone Cold Fingers (Bonus Track),159.968,4,1,4,-10.647,175.62077
SOLEYPL12A6D4F83CE,Test Icicles,Snowball,75.031,4,0,4,-4.172,190.24934
SOZFCNC12A6D4F76F3,Heaven 17,(We Don't Need This) Fascist Groove Thang,150.837,7,1,4,-10.756,255.16363
SOPUQFS12A8C13DE1E,React,Drunk Alone,143.231,10,0,1,-3.422,120.2673
SOPNRDT12AB018A2D8,Sven Tasnadi,Charisma,123.993,11,1,4,-12.26,557.26975
SOGTLVU12A8AE47D5D,Mance Lipscomb,Going Down Slow,97.981,11,1,1,-23.527,187.53261
SOXNMDZ12A6D4FA20D,Scott Wesley Brown,All Rise,137.288,2,1,4,-9.435,295.60118
SOGOJBW12AB018513B,Flávio José,Jogo Limpo,168.323,3,1,4,-8.639,252.02893
SONNOCP12A8C145220,Moss,Silent Hill,111.079,2,1,4,-7.672,329.35138
SOUDHTP12AB0183403,Pery Ribeiro,Our Love Is Here To Stay,133.009,0,1,4,-13.668,180.00934
SOWDEPU12A8C137B14,Soular,Everything Changes,146.577,6,1,5,-6.885,244.45342
SOJBYGW12A8C13A497,Dimmu Borgir,Master Of Disharmony,140.458,6,0,3,-4.2,282.53995
SOQDTQP12A6D4F793F,Public Image Ltd,(This Is Not A) Love Song (Live),132.506,0,1,4,-16.433,388.28363
SOJHKYL12A6D4FA0AC,Gary Moore,What Are We Here For,153.862,2,1,4,-6.951,345.93914
SOJVWBA12AB018C326,Pascal Sangla,Une petite pause,93.238,9,1,4,-14.737,243.1473
SONRSQW12A6D4F6D1C,The B-52's,Wig,124.086,0,1,4,-9.628,261.74649
SONTBYD12A58A77A29,Dakis,Perasmena Mesanihta,66.765,2,0,1,-8.46,172.25098
SOMKMPB12A8C1447D0,Sex Pistols,God Save the Queen (Live),145.518,9,1,4,-3.736,216.60689
SOSGQPS12A8AE48538,Chris Brown,Forever,139.998,1,1,4,-4.376,363.59791
SOKENJQ12AB017EC8C,Deekline & Wizard,Sun Is Shining,90.648,0,1,3,-6.947,271.77751
SOBNTXB12A8C1428BA,Daniela Dessì,New Age,140.334,2,0,4,-12.279,330.65751
SOIKIJC12AC3DFB3D2,Hem,Have Yourself A Merry Little Christmas,89.86,5,1,1,-15.736,133.27628
SOFJNQR12A6D4FAE92,Lily Allen,U Killed It,156.097,9,1,4,-5.871,264.69832
SOGDFIT12AB018528B,Pentangle,Rain And Snow,179.501,5,1,1,-12.053,228.51873
SOOIZTH12AB018C12E,DJ Dips,Gerra De De,86.689,1,1,3,-6.248,240.3522
SOQPJUL12AB0189379,Ana Bekuta,Kako mi je pitas sad,160.261,0,1,5,-13.703,145.57995
SOMBQEO12A8C135018,Jason Miles,Voices On The Corner,101.03,10,0,4,-9.716,235.80689
SOCQWKZ12A8C13CE4C,Busdriver,(Bloody Paw On The) Kill Floor,155.038,6,1,4,-6.258,192.1824
SONETAN12A58A7ACEB,Byther Smith,I Wish My Mother Was Here,117.168,1,1,3,-11.702,418.87302
SOKEXTF12A8C13AE7E,Bebo & Cigala,Inolvidable,132.967,2,0,1,-14.509,198.26893
SOUJISW12CF4E09416,Bizarre Inc,Miracle,139.91,11,1,4,-9.062,420.10077
SOJKDKH12A58A761A2,Bongzilla,Witch Weed (Live),95.882,9,1,4,-6.788,397.26975
SOTWWBZ12AB01845E0,The Gone Jackals,Not Buried Deep Enough,135.175,4,1,3,-12.772,229.79873
SOKZTUH12AB018B938,The Willis Brothers,Give Me 40 Acres (To Turn This Rig Around),121.983,7,1,3,-9.258,150.64771
SOQDTZG12A8C1442E3,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Ernesto Nazareth,169.775,9,0,3,-24.597,286.14485
SOIFOLA12AB017CDA1,S.U.P,The Cube (Live),137.862,11,0,4,-8.161,384.70485
SOKHVZO12AB0184C4D,Boogie Pimps,Get Back Down,83.326,1,1,3,-6.751,415.03302
SOMISOP12AC468D9D5,Brian Keane,Battle Of The Rosebud / Cries,117.667,4,1,3,-29.295,133.53751
SOOZKNQ12A6D4F6FD4,Aberdeen,Beyond the Light,90.908,9,1,3,-12.658,266.70975
SOGOQGE12AB0182907,The Killers,Spaceman,151.953,4,1,4,-6.546,284.3424
SOWTIDJ12AB018808C,Gloriana,Pulecenella 'e mò,161.054,0,0,4,-17.522,179.06893
SONIHLC12AB0187B0C,Butterfly Temple,Iskorosten' (instr.),159.895,8,1,5,-10.777,100.5971
SOLBHCO12AB018769A,Grant Geissman,Big Stax/High Volts (Album Version),128.219,9,1,4,-9.993,320.60036
SOVZVPT12AB018A59E,20/20,It Goes On,101.229,6,1,4,-12.99,302.36689
SOZWDHS12AB0188A33,José Augusto,Pecado De Amor,98.859,0,1,4,-8.339,284.70812
SOFSKON12A8C13B3B5,Orbital,Illuminate,125.975,0,1,4,-6.531,327.8624
SOBOCAG12A6BD55D56,Bone Thugs-N-Harmony / Akon,Never Forget Me,154.09,1,1,4,-6.933,286.30159
SONCYFS12A8C14261E,Moonsorrow,Ukkosenjumalan poika,124.237,9,1,4,-4.178,356.49261
SOTNBNN12A6D4F6CC7,N.W.A.,A B***** Is A B***** (Edited),97.099,9,1,4,-8.91,168.75057
SOXZLDX12A58A7CE52,Rage Against The Machine,Kick Out The Jams,140.63,9,1,1,-2.069,201.56036
SOEESQT12A8C13C7D5,Jazz Gillum,Me And My Buddy,101.41,0,0,1,-16.844,185.67791
SOSKUNI12AB0187F12,Rise Against,Amber Changing,186.254,4,1,4,-3.803,218.8273
SOSLFMU12AB018FFEA,Ultraviolence,Murder Academy,210.47,1,1,4,-10.57,303.04608
SOOKISK12AB0180667,Korn,Hey Daddy,94.057,7,1,4,-6.694,224.522
SOVGBEK12A8C134E04,Sir Neville Marriner,4 Sea Interludes Op. 33a: Storm,100.349,4,1,1,-16.753,315.27138
SORJOMF12AB0186F78,Agnes,I Need You Now,124.009,7,1,4,-4.376,275.06893
SOVTGXQ12A6D4FB9CA,James Horner,Atmosphere Station,90.084,9,1,1,-38.525,191.81669
SOLKTEK12AB018BE1A,Tantric,Walk Away,106.698,2,1,1,-1.843,177.24036
SODYZIU12A8C13FBD9,Mastodon,Shadows That Move,89.78,2,1,4,-3.937,233.58649
SOJRCDU12AB0189D27,Xcultures,Smile,107.177,9,0,7,-16.006,38.3473
SOBMHTY12AC9097B7C,The Irish Tenors,Mountains Of Mourne,152.258,10,1,4,-19.794,100.85832
SOZWHVZ12A6D4F90E7,U2,Kite Live from Sydney,134.083,3,1,4,-7.614,485.19791
SOQAHUW12AB0181F04,Little Joe,Loco (Crazy),106.398,5,1,3,-10.274,239.01995
SOVHRBI12A81C22E02,Korn,Ever Be,160.022,10,1,3,-5.912,288.49587
SOHULHF12AB017F6CF,Blind Blake & The Royal Victoria Hotel Calypsos,Oh Look Misery,101.492,7,1,4,-7.108,151.53587
SOFWWGY12AB0185BC5,Percy Faith,Yesterdays,86.141,0,0,4,-15.578,160.28689
SOEETVW12A6D4F93B8,Extreme,Teacher's Pet,120.097,1,1,4,-9.334,181.55057
SOJTIKK12A8C13B15E,Alexandre Desplat,Palmer enquête,128.173,7,0,4,-16.942,70.26893
SOQBQWN12AB0186782,Prozak,Go To Hell,88.835,8,1,4,-6.021,173.24363
SOKLQWF12A8C1423F2,Jerry Butler,Moon River - Original,105.24,2,1,4,-13.135,155.74159
SORQLMX12A8C133FCD,Yvette Horner,La Plus Bath Des Javas,162.385,7,1,1,-6.893,148.03546
SOCLQKJ12AF72A4AB0,Delta 9,Infidel,109.636,2,1,5,-9.506,94.06649
SODWXQV12A6310F10D,Placebo,English Summer Rain,108.264,10,0,4,-7.255,241.52771
